T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
208,Denmark,2020,Percentage of individuals using the internet,96.5,Population aged 15 to 89 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2021,Percentage of individuals using the internet,98.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2022,Percentage of individuals using the internet,97.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2023,Percentage of individuals using the internet,98.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2005,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2010,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2015,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2020,Percentage of individuals using the internet,59.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2021,Percentage of individuals using the internet,61.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2022,Percentage of individuals using the internet,63.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
262,Djibouti,2023,Percentage of individuals using the internet,65.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2005,Percentage of individuals using the internet,38.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2010,Percentage of individuals using the internet,47.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2015,Percentage of individuals using the internet,65.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2020,Percentage of individuals using the internet,75.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2021,Percentage of individuals using the internet,82.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2022,Percentage of individuals using the internet,83.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
212,Dominica,2023,Percentage of individuals using the internet,83.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2005,Percentage of individuals using the internet,11.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2010,Percentage of individuals using the internet,31.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2015,Percentage of individuals using the internet,54.2,Population aged 12 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2020,Percentage of individuals using the internet,81.6,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2021,Percentage of individuals using the internet,85.2,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2022,Percentage of individuals using the internet,81.5,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
214,Dominican Republic,2023,Percentage of individuals using the internet,84.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2005,Percentage of individuals using the internet,6.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2010,Percentage of individuals using the internet,29.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2015,Percentage of individuals using the internet,48.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2020,Percentage of individuals using the internet,70.7,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2021,Percentage of individuals using the internet,69.1,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2022,Percentage of individuals using the internet,69.7,Population aged 5 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
218,Ecuador,2023,Percentage of individuals using the internet,72.7,Population aged 5 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2005,Percentage of individuals using the internet,12.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2010,Percentage of individuals using the internet,21.6,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2015,Percentage of individuals using the internet,37.8,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2020,Percentage of individuals using the internet,71.9,Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2021,Percentage of individuals using the internet,72.1,Estimate.;Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2022,Percentage of individuals using the internet,72.2,Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
818,Egypt,2023,Percentage of individuals using the internet,72.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2005,Percentage of individuals using the internet,4.2,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2010,Percentage of individuals using the internet,15.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2015,Percentage of individuals using the internet,26.8,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2020,Percentage of individuals using the internet,54.6,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2021,Percentage of individuals using the internet,61.8,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2022,Percentage of individuals using the internet,65.5,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
222,El Salvador,2023,Percentage of individuals using the internet,67.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
226,Equatorial Guinea,2005,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
